# --------------------------------------------------------------------------------------------------
# 
# Program :	A2-pthreads-manual 
# where :	.dat contains timing data & .txt contains matrix values 
# 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/manual 	Inf Norm/manual 	Time/dgemm 	Inf Norm/dgemm 
# 
50 	0.001259 	1625625.0 	0.000283 	1625625.0 
50 	0.002391 	1625625.0 	0.000295 	1625625.0 
50 	0.001297 	1625625.0 	0.000287 	1625625.0 
50 	0.001232 	1625625.0 	0.000280 	1625625.0 
50 	0.001216 	1625625.0 	0.000291 	1625625.0 
50 	0.001267 	1625625.0 	0.000289 	1625625.0 
100 	0.010098 	25502500.0 	0.002294 	25502500.0 
100 	0.010646 	25502500.0 	0.002014 	25502500.0 
100 	0.009306 	25502500.0 	0.004446 	25502500.0 
100 	0.009266 	25502500.0 	0.001982 	25502500.0 
100 	0.009307 	25502500.0 	0.001979 	25502500.0 
100 	0.009287 	25502500.0 	0.001974 	25502500.0 
