# --------------------------------------------------------------------------------------------------
# 
# Program :	A2-pthreads-manual 
# where :	.dat contains timing data & .txt contains matrix values 
# 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/manual 	Inf Norm/manual 	Time/dgemm 	Inf Norm/dgemm 
# 
50 	0.001299 	89502.0 	0.000307 	89502.0 
150 	0.037241 	772112.0 	0.007939 	772112.0 
200 	0.124785 	1322244.0 	0.025349 	1322244.0 
250 	0.341618 	2081836.0 	0.064024 	2081836.0 
300 	0.612026 	3011393.0 	0.132935 	3011393.0 
350 	0.986115 	4095433.0 	0.222378 	4095433.0 
400 	1.081713 	5225598.0 	0.330024 	5225598.0 
450 	2.224804 	6598115.0 	0.469677 	6598115.0 
500 	3.155695 	8117937.0 	0.646205 	8117937.0 
550 	4.036771 	9746097.0 	0.856691 	9746097.0 
600 	4.280408 	11584750.0 	1.107333 	11584750.0 
650 	6.654927 	13574185.0 	1.407244 	13574185.0 
700 	8.415577 	15701890.0 	1.757862 	15701890.0 
750 	10.446816 	18100461.0 	2.172926 	18100461.0 
800 	10.345640 	20461090.0 	2.631782 	20461090.0 
850 	14.921297 	23321446.0 	3.154325 	23321446.0 
900 	18.114296 	25890261.0 	3.742948 	25890261.0 
950 	20.963989 	28863806.0 	4.391238 	28863806.0 
1000 	20.036045 	31896067.0 	5.105140 	31896067.0 
