# --------------------------------------------------------------------------------------------------
# 
# Program :	A4-mpi-manual 
# where :	.dat contains timing data & .txt contains matrix values 
# 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/manual 	Inf Norm/manual 	Time/dgemm 	Inf Norm/dgemm 
# 
50 	0.001201 	1625625.0 	0.000279 	1625625.0 
50 	0.001210 	1625625.0 	0.000283 	1625625.0 
50 	0.001365 	1625625.0 	0.000385 	1625625.0 
100 	0.009341 	25502500.0 	0.001990 	25502500.0 
100 	0.009300 	25502500.0 	0.001986 	25502500.0 
100 	0.009390 	25502500.0 	0.002001 	25502500.0 
500 	3.195391 	15687562500.0 	0.851524 	15687562500.0 
500 	3.117510 	15687562500.0 	0.697793 	15687562500.0 
500 	3.156754 	15687562500.0 	0.648264 	15687562500.0 
500 	3.033477 	15687562500.0 	0.645297 	15687562500.0 
1000 	19.872238 	250500250000.0 	5.189895 	250500250000.0 
1000 	20.226634 	250500250000.0 	5.143354 	250500250000.0 
1000 	20.099041 	250500250000.0 	5.143986 	250500250000.0 
1000 	20.223449 	250500250000.0 	5.154370 	250500250000.0 
