# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-1D 
# where : 	.dat contains timing data & .txt contains matrix values 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/mpi 	Inf Norm/mpi 	Time/dgemm 	Inf Norm/dgemm 	Time/manual 	Inf Norm/manual
# 
50 	0.004897 	1625625.0 	0.000281 	1625625.0 	0.001219 	1625625.0
50 	0.003326 	1625625.0 	0.001049 	1625625.0 	0.002203 	1625625.0
50 	0.003305 	1625625.0 	0.000286 	1625625.0 	0.001210 	1625625.0
100 	0.018313 	25502500.0 	0.002023 	25502500.0 	0.009471 	25502500.0
100 	0.018587 	25502500.0 	0.002033 	25502500.0 	0.009530 	25502500.0
100 	0.019000 	25502500.0 	0.002073 	25502500.0 	0.009658 	25502500.0
500 	3.710844 	15687562500.0 	0.834674 	15687562500.0 	3.355016 	15687562500.0
500 	3.587707 	15687562500.0 	0.819234 	15687562500.0 	3.319822 	15687562500.0
500 	3.619530 	15687562500.0 	0.816740 	15687562500.0 	3.347187 	15687562500.0
500 	3.604923 	15687562500.0 	0.818356 	15687562500.0 	3.359344 	15687562500.0
1000 	23.619057 	250500250000.0 	6.392954 	250500250000.0 	21.995911 	250500250000.0
1000 	24.271146 	250500250000.0 	6.441605 	250500250000.0 	22.635459 	250500250000.0
1000 	23.330612 	250500250000.0 	6.564853 	250500250000.0 	22.277569 	250500250000.0
1000 	22.908853 	250500250000.0 	6.467756 	250500250000.0 	22.457247 	250500250000.0
