# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-1D 
# where : 	.dat contains timing data & .txt contains matrix values 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/mpi 	Inf Norm/mpi 	Time/dgemm 	Inf Norm/dgemm 	Time/manual 	Inf Norm/manual
# 
50 	0.003495 	1625625.0 	0.000288 	1625625.0 	0.001215 	1625625.0
50 	0.003394 	1625625.0 	0.000284 	1625625.0 	0.001221 	1625625.0
50 	0.003525 	1625625.0 	0.000289 	1625625.0 	0.001229 	1625625.0
50 	0.003378 	1625625.0 	0.000280 	1625625.0 	0.001226 	1625625.0
50 	0.003452 	1625625.0 	0.000284 	1625625.0 	0.001432 	1625625.0
50 	0.003316 	1625625.0 	0.000289 	1625625.0 	0.001217 	1625625.0
100 	0.018835 	25502500.0 	0.002032 	25502500.0 	0.009974 	25502500.0
100 	0.019427 	25502500.0 	0.002039 	25502500.0 	0.009459 	25502500.0
100 	0.018434 	25502500.0 	0.002067 	25502500.0 	0.009416 	25502500.0
100 	0.019503 	25502500.0 	0.002044 	25502500.0 	0.009552 	25502500.0
100 	0.019931 	25502500.0 	0.002032 	25502500.0 	0.009669 	25502500.0
100 	0.018945 	25502500.0 	0.002147 	25502500.0 	0.009493 	25502500.0
