# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-1D 
# where : 	.dat contains timing data & .txt contains matrix values 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/mpi 	Inf Norm/mpi 	Time/dgemm 	Inf Norm/dgemm 	Time/manual 	Inf Norm/manual
# 
50 	0.003397 	1625625.0 	0.000288 	1625625.0 	0.001242 	1625625.0
50 	0.003611 	1625625.0 	0.000287 	1625625.0 	0.001215 	1625625.0
50 	0.003682 	1625625.0 	0.000288 	1625625.0 	0.001211 	1625625.0
100 	0.019267 	25502500.0 	0.002433 	25502500.0 	0.009435 	25502500.0
100 	0.018404 	25502500.0 	0.002047 	25502500.0 	0.009442 	25502500.0
100 	0.023596 	25502500.0 	0.002019 	25502500.0 	0.012373 	25502500.0
500 	3.669566 	15687562500.0 	0.818055 	15687562500.0 	3.356318 	15687562500.0
500 	3.575005 	15687562500.0 	0.821899 	15687562500.0 	3.329264 	15687562500.0
500 	3.580136 	15687562500.0 	0.827713 	15687562500.0 	3.289661 	15687562500.0
500 	3.638119 	15687562500.0 	0.810202 	15687562500.0 	3.298383 	15687562500.0
1000 	23.389160 	250500250000.0 	6.553018 	250500250000.0 	23.616626 	250500250000.0
1000 	23.609556 	250500250000.0 	6.560736 	250500250000.0 	22.512074 	250500250000.0
1000 	23.316519 	250500250000.0 	6.552578 	250500250000.0 	22.917504 	250500250000.0
1000 	23.223686 	250500250000.0 	6.693635 	250500250000.0 	22.248374 	250500250000.0
